OBJECTID,AQI,Category,ResponsiblePollutant,PollenCount,PollenType,PollenDescription,ReportDateTime
349,44,Good,Ozone 8-hr,8,Juniper, Maple,2024/04/21 05:00:00+00
350,44,Good,Ozone 8-hr,9,Juniper, Maple,2024/04/20 05:00:00+00
351,49,Good,Ozone 8-hr,3,Juniper, Maple,2024/04/19 05:00:00+00
352,51,Moderate,PM2.5,10,Birch, Mulberry,2024/04/18 05:00:00+00
353,51,Moderate,PM2.5,9,Birch, Mulberry,2024/04/17 05:00:00+00
354,54,Moderate,Ozone 8-hr,11,Birch, Mulberry,2024/04/16 05:00:00+00
355,54,Moderate,Ozone 8-hr,10,Birch, Mulberry,2024/04/15 05:00:00+00
356,50,Good,PM2.5,11,Birch, Mulberry,2024/04/14 05:00:00+00
357,46,Good,PM2.5,10,Birch, Mulberry,2024/04/13 05:00:00+00
358,46,Good,Ozone 1-hr,10,Birch, Mulberry,2024/04/12 05:00:00+00
359,46,Good,PM2.5,2,Juniper, Maple,2024/04/11 05:00:00+00
360,46,Good,Ozone 8-hr,4,Juniper, Maple,2024/04/10 05:00:00+00
361,50,Good,PM2.5,1,Juniper, Maple,2024/04/09 05:00:00+00
362,50,Good,PM2.5,8,Juniper, Maple,2024/04/08 05:00:00+00
363,50,Good,Ozone 8-hr,10,Juniper, Maple,2024/04/07 05:00:00+00
364,44,Good,Ozone 8-hr,9,Juniper, Maple,2024/04/06 05:00:00+00
365,45,Good,Ozone 8-hr,10,Elm, Juniper,2024/04/05 05:00:00+00
366,44,Good,Ozone 8-hr,7,Elm, Juniper,2024/04/04 05:00:00+00
367,43,Good,Ozone 8-hr,9,Elm, Juniper,2024/04/03 05:00:00+00
368,48,Good,PM2.5,5,Elm, Juniper,2024/04/02 05:00:00+00
369,50,Good,PM2.5,11,Elm, Juniper,2024/04/01 05:00:00+00
370,51,Moderate,Ozone 8-hr,11,Elm, Juniper,2024/03/31 05:00:00+00
371,50,Good,Ozone 8-hr,11,Elm, Juniper,2024/03/30 05:00:00+00
372,46,Good,PM2.5,10,Elm, Juniper,2024/03/29 05:00:00+00
373,46,Good,PM2.5,9,Juniper, Maple,2024/03/28 05:00:00+00
374,50,Good,PM2.5,9,Juniper, Maple,2024/03/27 05:00:00+00
375,50,Good,PM2.5,3,Juniper, Maple,2024/03/26 05:00:00+00
376,50,Good,Ozone 8-hr,11,Juniper, Maple,2024/03/25 05:00:00+00
377,49,Good,Ozone 8-hr,10,Juniper, Maple,2024/03/24 05:00:00+00
378,47,Good,Ozone 8-hr,8,Juniper, Maple,2024/03/23 05:00:00+00
379,46,Good,PM2.5,8,Juniper, Maple,2024/03/22 05:00:00+00
380,50,Good,PM2.5,10,Juniper, Maple,2024/03/21 05:00:00+00
381,50,Good,PM2.5,9,Juniper, Maple,2024/03/20 05:00:00+00
382,44,Good,Ozone 8-hr,9,Juniper, Maple,2024/03/19 05:00:00+00
383,42,Good,Ozone 8-hr,9,Juniper, Maple,2024/03/18 05:00:00+00
384,48,Good,Ozone 8-hr,9,Juniper, Maple,2024/03/17 05:00:00+00
385,45,Good,Ozone 8-hr,9,Juniper, Maple,2024/03/16 05:00:00+00
386,50,Good,PM2.5,2,Juniper, Maple,2024/03/15 05:00:00+00
387,51,Moderate,PM2.5,10,Alder, Juniper,2024/03/14 05:00:00+00
388,51,Moderate,PM2.5,10,Alder, Juniper,2024/03/13 05:00:00+00
389,51,Moderate,PM2.5,10,Alder, Juniper,2024/03/13 05:00:00+00
390,46,Good,PM2.5,9,Alder, Juniper,2024/03/12 05:00:00+00
391,46,Good,PM2.5,9,Alder, Juniper,2024/03/12 05:00:00+00
392,42,Good,PM2.5,8,Alder, Juniper,2024/03/11 05:00:00+00
393,44,Good,PM2.5,9,Alder, Juniper,2024/03/10 06:00:00+00
394,44,Good,PM2.5,3,Alder, Juniper,2024/03/09 06:00:00+00
395,46,Good,PM2.5,8,Alder, Juniper,2024/03/08 06:00:00+00
396,46,Good,PM2.5,8,Alder, Juniper,2024/03/08 06:00:00+00
397,50,Good,PM2.5,8,Alder, Juniper,2024/03/07 06:00:00+00
398,46,Good,PM2.5,7,Alder, Juniper,2024/03/06 06:00:00+00
399,50,Good,PM2.5,6,Alder, Juniper,2024/03/05 06:00:00+00
400,53,Moderate,PM2.5,8,Alder, Juniper,2024/03/04 06:00:00+00
401,50,Good,PM2.5,8,Alder, Juniper,2024/03/03 06:00:00+00
402,42,Good,PM2.5,6,Alder, Juniper,2024/03/02 06:00:00+00
403,38,Good,PM2.5,1,Alder, Juniper,2024/03/01 06:00:00+00
404,48,Good,PM2.5,,,Not on file,2024/02/29 06:00:00+00
405,46,Good,PM2.5,,,Not on file,2024/02/28 06:00:00+00
406,51,Moderate,PM2.5,,,Not on file,2024/02/27 06:00:00+00
407,50,Good,PM2.5,,,Not on file,2024/02/26 06:00:00+00
408,42,Good,PM2.5,,,Not on file,2024/02/25 06:00:00+00
409,35,Good,PM2.5,,,Not on file,2024/02/24 06:00:00+00
410,44,Good,PM2.5,,,Not on file,2024/02/23 06:00:00+00
411,50,Good,PM2.5,,,Not on file,2024/02/22 06:00:00+00
412,51,Moderate,PM2.5,,,Not on file,2024/02/21 06:00:00+00
413,51,Moderate,PM2.5,,,Not on file,2024/02/20 06:00:00+00
414,38,Good,PM2.5,,,Not on file,2024/02/19 06:00:00+00
415,33,Good,PM2.5,,,Not on file,2024/02/18 06:00:00+00
416,33,Good,PM2.5,,,Not on file,2024/02/17 06:00:00+00
417,42,Good,PM2.5,,,Not on file,2024/02/16 06:00:00+00
418,50,Good,PM2.5,,,Not on file,2024/02/15 06:00:00+00
419,50,Good,PM2.5,,,Not on file,2024/02/14 06:00:00+00
420,46,Good,PM2.5,,,Not on file,2024/02/13 06:00:00+00
421,35,Good,PM2.5,,,Not on file,2024/02/12 06:00:00+00
422,35,Good,PM2.5,,,Not on file,2024/02/11 06:00:00+00
423,50,Good,PM2.5,,,Not on file,2024/02/10 06:00:00+00
424,51,Moderate,PM2.5,,,Not on file,2024/02/09 06:00:00+00
425,51,Moderate,PM2.5,,,Not on file,2024/02/08 06:00:00+00
426,50,Good,PM2.5,,,Not on file,2024/02/07 06:00:00+00
427,42,Good,PM2.5,,,Not on file,2024/02/06 06:00:00+00
428,50,Good,PM2.5,,,Not on file,2024/02/05 06:00:00+00
429,51,Moderate,PM2.5,,,Not on file,2024/02/04 06:00:00+00
430,50,Good,PM2.5,,,Not on file,2024/02/03 06:00:00+00
431,52,Moderate,PM2.5,,,Not on file,2024/02/02 06:00:00+00
432,50,Good,PM2.5,,,Not on file,2024/02/01 06:00:00+00
433,46,Good,PM2.5,,,Not on file,2024/01/31 06:00:00+00
434,33,Good,PM2.5,,,Not on file,2024/01/30 06:00:00+00
435,33,Good,PM2.5,,,Not on file,2024/01/29 06:00:00+00
436,37,Good,PM2.5,,,Not on file,2024/01/28 06:00:00+00
437,38,Good,PM2.5,,,Not on file,2024/01/27 06:00:00+00
438,38,Good,PM2.5,,,Not on file,2024/01/26 06:00:00+00
439,42,Good,PM2.5,,,Not on file,2024/01/25 06:00:00+00
440,46,Good,PM2.5,,,Not on file,2024/01/24 06:00:00+00
441,48,Good,PM2.5,,,Not on file,2024/01/23 06:00:00+00
442,42,Good,PM2.5,,,Not on file,2024/01/22 06:00:00+00
443,42,Good,PM2.5,,,Not on file,2024/01/21 06:00:00+00
444,46,Good,PM2.5,,,Not on file,2024/01/20 06:00:00+00
445,46,Good,PM2.5,,,Not on file,2024/01/19 06:00:00+00
446,50,Good,PM2.5,,,Not on file,2024/01/18 06:00:00+00
447,48,Good,PM2.5,,,Not on file,2024/01/17 06:00:00+00
448,31,Good,PM2.5,,,Not on file,2024/01/16 06:00:00+00
449,29,Good,PM2.5,,,Not on file,2024/01/15 06:00:00+00
450,31,Good,PM2.5,,,Not on file,2024/01/14 06:00:00+00
451,40,Good,PM2.5,,,Not on file,2024/01/13 06:00:00+00
452,33,Good,PM2.5,,,Not on file,2024/01/12 06:00:00+00
453,38,Good,PM2.5,,,Not on file,2024/01/11 06:00:00+00
454,38,Good,PM2.5,,,Not on file,2024/01/10 06:00:00+00
455,38,Good,PM2.5,,,Not on file,2024/01/09 06:00:00+00
456,42,Good,PM2.5,,,Not on file,2024/01/08 06:00:00+00
457,49,Good,PM2.5,,,Not on file,2024/01/07 06:00:00+00
458,46,Good,PM2.5,,,Not on file,2024/01/06 06:00:00+00
459,50,Good,PM2.5,,,Not on file,2024/01/05 06:00:00+00
460,61,Moderate,PM2.5,,,Not on file,2024/01/04 06:00:00+00
461,50,Good,PM2.5,,,Not on file,2024/01/03 06:00:00+00
462,38,Good,PM2.5,,,Not on file,2024/01/02 06:00:00+00
463,38,Good,PM2.5,,,Not on file,2024/01/01 06:00:00+00
464,38,Good,PM2.5,,,Not on file,2023/12/31 06:00:00+00
465,35,Good,PM2.5,,,Not on file,2023/12/30 06:00:00+00
466,38,Good,PM2.5,,,Not on file,2023/12/29 06:00:00+00
467,40,Good,PM2.5,,,Not on file,2023/12/28 06:00:00+00
468,35,Good,PM2.5,,,Not on file,2023/12/27 06:00:00+00
469,33,Good,PM2.5,,,Not on file,2023/12/26 06:00:00+00
470,50,Good,PM2.5,,,Not on file,2023/12/25 06:00:00+00
471,51,Moderate,PM2.5,,,Not on file,2023/12/24 06:00:00+00
472,63,Moderate,PM2.5,,,Not on file,2023/12/23 06:00:00+00
473,57,Moderate,PM2.5,,,Not on file,2023/12/22 06:00:00+00
474,46,Good,PM2.5,,,Not on file,2023/12/21 06:00:00+00
475,33,Good,PM2.5,,,Not on file,2023/12/20 06:00:00+00
476,31,Good,PM2.5,,,Not on file,2023/12/19 06:00:00+00
477,31,Good,PM2.5,,,Not on file,2023/12/18 06:00:00+00
478,31,Good,PM2.5,,,Not on file,2023/12/17 06:00:00+00
479,50,Good,PM2.5,,,Not on file,2023/12/16 06:00:00+00
480,50,Good,PM2.5,,,Not on file,2023/12/15 06:00:00+00
481,52,Moderate,PM2.5,,,Not on file,2023/12/14 06:00:00+00
482,48,Good,PM2.5,,,Not on file,2023/12/13 06:00:00+00
483,35,Good,PM2.5,0,Ragweed,Slight,2023/12/12 06:00:00+00
484,29,Good,PM2.5,0,Ragweed,Slight,2023/12/11 06:00:00+00
485,30,Good,PM2.5,0,Ragweed,Slight,2023/12/10 06:00:00+00
486,50,Good,PM2.5,0,Ragweed,Slight,2023/12/09 06:00:00+00
487,50,Good,PM2.5,1,Ragweed,Slight,2023/12/08 06:00:00+00
488,41,Good,PM2.5,0,Ragweed,Slight,2023/12/07 06:00:00+00
489,41,Good,PM2.5,0,Ragweed,Slight,2023/12/07 06:00:00+00
490,28,Good,PM2.5,0,Ragweed,Slight,2023/12/06 06:00:00+00
491,43,Good,PM2.5,0,Ragweed,Slight,2023/12/05 06:00:00+00
492,38,Good,PM2.5,0,Ragweed,Slight,2023/12/04 06:00:00+00
493,42,Good,PM2.5,0,Ragweed,Slight,2023/12/03 06:00:00+00
494,50,Good,PM2.5,0,Ragweed,Slight,2023/12/02 06:00:00+00
495,51,Moderate,PM2.5,0,Ragweed,Slight,2023/12/01 06:00:00+00
496,51,Moderate,PM2.5,1,Ragweed,Slight,2023/11/30 06:00:00+00
497,41,Good,PM2.5,0,Ragweed,Slight,2023/11/29 06:00:00+00
498,41,Good,PM2.5,0,Ragweed,Slight,2023/11/28 06:00:00+00
499,46,Good,PM2.5,0,Ragweed,Slight,2023/11/27 06:00:00+00
500,51,Moderate,PM2.5,0,Ragweed,Slight,2023/11/26 06:00:00+00
501,49,Good,PM2.5,0,Ragweed,Slight,2023/11/25 06:00:00+00
502,46,Good,PM2.5,0,Ragweed,Slight,2023/11/24 06:00:00+00
503,38,Good,PM2.5,0,Ragweed,Slight,2023/11/23 06:00:00+00
504,33,Good,PM2.5,0,Ragweed,Slight,2023/11/22 06:00:00+00
505,31,Good,PM2.5,0,Ragweed,Slight,2023/11/21 06:00:00+00
506,33,Good,PM2.5,1,Ragweed,Slight,2023/11/20 06:00:00+00
507,38,Good,PM2.5,0,Ragweed,Slight,2023/11/19 06:00:00+00
508,35,Good,PM2.5,1,Ragweed,Slight,2023/11/18 06:00:00+00
509,46,Good,PM2.5,0,Ragweed,Slight,2023/11/17 06:00:00+00
510,40,Good,PM2.5,1,Ragweed,Slight,2023/11/16 06:00:00+00
511,41,Good,PM2.5,1,Ragweed,Slight,2023/11/15 06:00:00+00
512,51,Moderate,PM2.5,1,Ragweed,Slight,2023/11/14 06:00:00+00
513,40,Good,PM2.5,0,Ragweed,Slight,2023/11/13 06:00:00+00
514,37,Good,Ozone 8-hr,0,Ragweed,Slight,2023/11/12 06:00:00+00
515,37,Good,Ozone 8-hr,0,Ragweed,Slight,2023/11/11 06:00:00+00
516,37,Good,Ozone 8-hr,0,Ragweed,Slight,2023/11/10 06:00:00+00
517,50,Good,PM2.5,0,Ragweed,Slight,2023/11/09 06:00:00+00
518,50,Good,PM2.5,2,Ragweed,Slight,2023/11/08 06:00:00+00
519,51,Moderate,PM2.5,2,Ragweed,Slight,2023/11/07 06:00:00+00
520,57,Moderate,PM2.5,1,Ragweed,Slight,2023/11/06 06:00:00+00
521,51,Moderate,PM2.5,1,Ragweed,Slight,2023/11/05 05:00:00+00
522,48,Good,PM2.5,1,Ragweed,Slight,2023/11/04 05:00:00+00
523,48,Good,PM2.5,0,Ragweed,Slight,2023/11/03 05:00:00+00
524,37,Good,Ozone 8-hr,0,Ragweed,Slight,2023/11/02 05:00:00+00
525,37,Good,Ozone 8-hr,0,Ragweed,Slight,2023/11/01 05:00:00+00
526,37,Good,Ozone 8-hr,0,Ragweed,Slight,2023/10/31 05:00:00+00
527,38,Good,PM2.5,0,Ragweed,Slight,2023/10/30 05:00:00+00
528,38,Good,PM2.5,0,Ragweed,Slight,2023/10/29 05:00:00+00
529,38,Good,PM2.5,1,Ragweed,Slight,2023/10/28 05:00:00+00
530,46,Good,PM2.5,2,Ragweed,Slight,2023/10/27 05:00:00+00
531,48,Good,PM2.5,3,Ragweed,Slight,2023/10/26 05:00:00+00
532,49,Good,PM2.5,2,Ragweed,Slight,2023/10/25 05:00:00+00
533,46,Good,Ozone 8-hr,3,Ragweed,Slight,2023/10/24 05:00:00+00
534,46,Good,Ozone 8-hr,2,Ragweed,Slight,2023/10/23 05:00:00+00
535,44,Good,Ozone 8-hr,2,Ragweed,Slight,2023/10/22 05:00:00+00
536,44,Good,Ozone 8-hr,2,Ragweed,Slight,2023/10/22 05:00:00+00
537,42,Good,Ozone 8-hr,3,Ragweed,Slight,2023/10/21 05:00:00+00
538,42,Good,Ozone 8-hr,2,Ragweed,Slight,2023/10/20 05:00:00+00
539,50,Good,PM2.5,3,Ragweed,Slight,2023/10/19 05:00:00+00
540,45,Good,PM2.5,3,Ragweed,Slight,2023/10/18 05:00:00+00
541,39,Good,Ozone 8-hr,2,Ragweed,Slight,2023/10/17 05:00:00+00
542,35,Good,Ozone 8-hr,2,Ragweed,Slight,2023/10/16 05:00:00+00
543,35,Good,PM2.5,1,Ragweed,Slight,2023/10/15 05:00:00+00
544,46,Good,PM2.5,2,Ragweed,Slight,2023/10/14 05:00:00+00
545,45,Good,PM2.5,3,Ragweed,Slight,2023/10/13 05:00:00+00
546,51,Moderate,PM2.5,4,Elm, Grass,2023/10/12 05:00:00+00
547,45,Good,PM2.5,3,Elm, Grass,2023/10/11 05:00:00+00
548,45,Good,PM2.5,3,Elm, Grass,2023/10/10 05:00:00+00
549,41,Good,Ozone 8-hr,4,Elm, Grass,2023/10/09 05:00:00+00
550,40,Good,Ozone 8-hr,3,Elm, Grass,2023/10/08 05:00:00+00
551,42,Good,Ozone 8-hr,4,Elm, Grass,2023/10/07 05:00:00+00
552,50,Good,PM2.5,2,Elm, Grass,2023/10/06 05:00:00+00
553,51,Moderate,PM2.5,5,Elm, Grass,2023/10/05 05:00:00+00
554,51,Moderate,PM2.5,6,Elm, Grass,2023/10/04 05:00:00+00
555,51,Moderate,Ozone 8-hr,6,Elm, Grass,2023/10/03 05:00:00+00
556,50,Good,Ozone 8-hr,6,Elm, Grass,2023/10/02 05:00:00+00
557,51,Moderate,Ozone 8-hr,6,Elm, Grass,2023/10/01 05:00:00+00
558,50,Good,Ozone 8-hr,6,Elm, Grass,2023/09/30 05:00:00+00
559,50,Good,Ozone 8-hr,6,Elm, Grass,2023/09/29 05:00:00+00
560,50,Good,Ozone 8-hr,6,Elm, Grass,2023/09/28 05:00:00+00
561,50,Good,Ozone 8-hr,7,Elm, Grass,2023/09/27 05:00:00+00
562,50,Good,Ozone 8-hr,7,Elm, Grass,2023/09/26 05:00:00+00
563,50,Good,PM2.5,7,Elm, Grass,2023/09/25 05:00:00+00
564,51,Moderate,Ozone 8-hr,7,Elm, Grass,2023/09/24 05:00:00+00
565,51,Moderate,Ozone 8-hr,8,Elm, Grass,2023/09/23 05:00:00+00
566,54,Moderate,PM2.5,8,Elm, Grass,2023/09/22 05:00:00+00
567,51,Moderate,PM2.5,8,Grass, Ragweed,2023/09/21 05:00:00+00
568,51,Moderate,PM2.5,8,Grass, Ragweed,2023/09/21 05:00:00+00
569,51,Moderate,PM2.5,8,Grass, Ragweed,2023/09/20 05:00:00+00
570,50,Good,PM2.5,8,Grass, Ragweed,2023/09/19 05:00:00+00
571,50,Good,PM2.5,8,Grass, Ragweed,2023/09/18 05:00:00+00
572,50,Good,PM2.5,8,Grass, Ragweed,2023/09/17 05:00:00+00
573,50,Good,PM2.5,6,Grass, Ragweed,2023/09/16 05:00:00+00
574,50,Good,PM2.5,9,Grass, Ragweed,2023/09/15 05:00:00+00
575,50,Good,PM2.5,9,Grass, Ragweed,2023/09/14 05:00:00+00
576,50,Good,PM2.5,9,Grass, Ragweed,2023/09/13 05:00:00+00
577,50,Good,PM2.5,8,Grass, Ragweed,2023/09/12 05:00:00+00
578,46,Good,PM2.5,10,Grass, Ragweed,2023/09/11 05:00:00+00
579,41,Good,Ozone 8-hr,9,Grass, Ragweed,2023/09/10 05:00:00+00
580,50,Good,PM2.5,10,Grass, Ragweed,2023/09/09 05:00:00+00
581,57,Moderate,PM2.5,10,Grass, Ragweed,2023/09/08 05:00:00+00
582,51,Moderate,PM2.5,10,Grass, Ragweed,2023/09/07 05:00:00+00
583,44,Good,Ozone 8-hr,2,Grass, Ragweed,2023/09/06 05:00:00+00
584,51,Moderate,Ozone 8-hr,11,Grass, Ragweed,2023/09/05 05:00:00+00
585,93,Moderate,Ozone 8-hr,11,Grass, Ragweed,2023/09/04 05:00:00+00
586,51,Moderate,Ozone 8-hr,11,Grass, Ragweed,2023/09/03 05:00:00+00
587,51,Moderate,Ozone 8-hr,11,Grass, Ragweed,2023/09/02 05:00:00+00
588,51,Moderate,Ozone 8-hr,10,Grass, Ragweed,2023/09/01 05:00:00+00
589,51,Moderate,Ozone 8-hr,10,Grass, Ragweed,2023/08/31 05:00:00+00
590,50,Good,PM2.5,11,Grass, Ragweed,2023/08/30 05:00:00+00
591,46,Good,PM2.5,9,Grass, Ragweed,2023/08/29 05:00:00+00
592,44,Good,Ozone 8-hr,9,Grass, Ragweed,2023/08/28 05:00:00+00
593,50,Good,PM2.5,8,Grass, Ragweed,2023/08/27 05:00:00+00
594,67,Moderate,Ozone 8-hr,10,Grass, Ragweed,2023/08/26 05:00:00+00
595,80,Moderate,Ozone 8-hr,10,Grass, Ragweed,2023/08/25 05:00:00+00
596,100,Moderate,Ozone 8-hr,10,Grass, Ragweed,2023/08/24 05:00:00+00
597,100,Moderate,Ozone 8-hr,10,Grass, Ragweed,2023/08/23 05:00:00+00
598,115,Unhealthy for Sensitive Groups,Ozone 8-hr,9,Grass, Ragweed,2023/08/22 05:00:00+00
599,100,Moderate,Ozone 8-hr,9,Grass, Ragweed,2023/08/21 05:00:00+00
600,55,Moderate,PM2.5,9,Grass, Ragweed,2023/08/20 05:00:00+00
601,89,Moderate,PM2.5,8,Grass, Ragweed,2023/08/19 05:00:00+00
602,50,Good,PM2.5,8,Grass, Ragweed,2023/08/18 05:00:00+00
603,50,Good,PM2.5,7,Grass,Moderate,2023/08/17 05:00:00+00
604,44,Good,Ozone 8-hr,7,Grass,Moderate,2023/08/16 05:00:00+00
605,44,Good,Ozone 8-hr,6,Grass,Moderate,2023/08/15 05:00:00+00
606,51,Moderate,PM2.5,5,Grass,Slight,2023/08/14 05:00:00+00
607,50,Good,PM2.5,4,Grass,Slight,2023/08/13 05:00:00+00
608,50,Good,PM2.5,6,Grass,Moderate,2023/08/12 05:00:00+00
609,44,Good,PM2.5,6,Grass,Moderate,2023/08/11 05:00:00+00
610,47,Good,PM2.5,0,Grass,Slight,2023/08/10 05:00:00+00
611,50,Good,PM2.5,4,Grass,Slight,2023/08/09 05:00:00+00
612,44,Good,Ozone 8-hr,5,Grass,Moderate,2023/08/08 05:00:00+00
613,48,Good,Ozone 8-hr,6,Grass,Moderate,2023/08/07 05:00:00+00
614,50,Good,PM2.5,3,Grass,Slight,2023/08/06 05:00:00+00
615,50,Good,PM2.5,4,Grass,Slight,2023/08/05 05:00:00+00
616,50,Good,PM2.5,0,Grass,Slight,2023/08/04 05:00:00+00
617,49,Good,Ozone 8-hr,1,Grass,Slight,2023/08/03 05:00:00+00
618,51,Moderate,PM2.5,4,Grass,Slight,2023/08/02 05:00:00+00
619,50,Good,PM2.5,5,Grass,Slight,2023/08/01 05:00:00+00
620,50,Good,PM2.5,5,Grass,Slight,2023/07/31 05:00:00+00
621,50,Good,PM2.5,4,Grass,Slight,2023/07/30 05:00:00+00
622,63,Moderate,PM2.5,5,Grass,Slight,2023/07/29 05:00:00+00
623,74,Moderate,Ozone 8-hr,5,Grass,Slight,2023/07/28 05:00:00+00
624,59,Moderate,PM2.5,5,Grass, Ragweed,2023/07/27 05:00:00+00
625,55,Moderate,PM2.5,4,Grass, Ragweed,2023/07/26 05:00:00+00
626,67,Moderate,Ozone 8-hr,4,Grass, Ragweed,2023/07/25 05:00:00+00
627,51,Moderate,PM2.5,4,Grass, Ragweed,2023/07/24 05:00:00+00
628,51,Moderate,PM2.5,3,Grass, Ragweed,2023/07/23 05:00:00+00
629,53,Moderate,PM2.5,3,Grass, Ragweed,2023/07/22 05:00:00+00
630,53,Moderate,PM2.5,0,Grass,Slight,2023/07/21 05:00:00+00
631,45,Good,PM2.5,2,Grass,Slight,2023/07/20 05:00:00+00
632,53,Moderate,PM2.5,0,Grass,Slight,2023/07/19 05:00:00+00
633,84,Moderate,PM2.5,3,Grass,Slight,2023/07/18 05:00:00+00
634,101,Unhealthy for Sensitive Groups,PM2.5,3,Grass,Slight,2023/07/17 05:00:00+00
635,57,Moderate,PM2.5,3,Grass,Slight,2023/07/16 05:00:00+00
636,50,Good,PM2.5,0,Grass,Slight,2023/07/15 05:00:00+00
637,46,Good,PM2.5,3,Grass,Slight,2023/07/14 05:00:00+00
638,52,Moderate,PM2.5,4,Grass,Slight,2023/07/13 05:00:00+00
639,100,Moderate,Ozone 8-hr,3,Grass,Slight,2023/07/12 05:00:00+00
640,77,Moderate,Ozone 8-hr,3,Grass,Slight,2023/07/11 05:00:00+00
641,51,Moderate,Ozone 8-hr,3,Grass,Slight,2023/07/10 05:00:00+00
642,50,Good,PM2.5,0,Grass,Slight,2023/07/09 05:00:00+00
643,50,Good,PM2.5,1,Grass,Slight,2023/07/08 05:00:00+00
644,51,Moderate,PM2.5,3,Grass,Slight,2023/07/07 05:00:00+00
645,51,Moderate,PM2.5,2,Grass,Slight,2023/07/06 05:00:00+00
646,63,Moderate,PM2.5,3,Grass,Slight,2023/07/05 05:00:00+00
647,57,Moderate,PM2.5,3,Grass,Slight,2023/07/04 05:00:00+00
648,51,Moderate,PM2.5,3,Grass,Slight,2023/07/03 05:00:00+00
649,53,Moderate,PM2.5,3,Grass,Slight,2023/07/02 05:00:00+00
650,67,Moderate,PM2.5,3,Grass,Slight,2023/07/01 05:00:00+00
651,84,Moderate,Ozone 8-hr,4,Grass,Slight,2023/06/30 05:00:00+00
652,101,Unhealthy for Sensitive Groups,Ozone 8-hr,4,Grass,Slight,2023/06/29 05:00:00+00
653,90,Moderate,Ozone 8-hr,3,Grass,Slight,2023/06/28 05:00:00+00
654,74,Moderate,Ozone 8-hr,4,Grass,Slight,2023/06/27 05:00:00+00
655,51,Moderate,Ozone 8-hr,4,Grass,Slight,2023/06/26 05:00:00+00
656,67,Moderate,Ozone 8-hr,3,Grass,Slight,2023/06/25 05:00:00+00
657,51,Moderate,Ozone 8-hr,4,Grass,Slight,2023/06/24 05:00:00+00
658,50,Good,PM2.5,2,Grass,Slight,2023/06/23 05:00:00+00
659,50,Good,Ozone 8-hr,0,Grass, Poplar,2023/06/22 05:00:00+00
660,50,Good,Ozone 8-hr,1,Grass, Poplar,2023/06/21 05:00:00+00
661,50,Good,PM2.5,0,Grass, Poplar,2023/06/20 05:00:00+00
662,50,Good,Ozone 8-hr,0,Grass, Poplar,2023/06/19 05:00:00+00
663,100,Moderate,Ozone 8-hr,4,Grass, Poplar,2023/06/18 05:00:00+00
664,101,Unhealthy for Sensitive Groups,Ozone 8-hr,4,Grass, Poplar,2023/06/17 05:00:00+00
665,51,Moderate,PM2.5,4,Grass, Poplar,2023/06/16 05:00:00+00
666,51,Moderate,PM2.5,4,Grass, Juniper,2023/06/15 05:00:00+00
667,51,Moderate,PM2.5,2,Grass, Juniper,2023/06/14 05:00:00+00
668,50,Good,PM2.5,4,Grass, Juniper,2023/06/13 05:00:00+00
669,50,Good,PM2.5,4,Grass, Juniper,2023/06/12 05:00:00+00
670,100,Moderate,Ozone 8-hr,1,Grass, Juniper,2023/06/11 05:00:00+00
671,105,Unhealthy for Sensitive Groups,Ozone 8-hr,5,Grass, Juniper,2023/06/10 05:00:00+00
672,100,Moderate,Ozone 8-hr,5,Grass, Juniper,2023/06/09 05:00:00+00
673,80,Moderate,Ozone 8-hr,5,Grass, Maple,2023/06/08 05:00:00+00
674,100,Moderate,PM2.5,4,Grass, Maple,2023/06/07 05:00:00+00
675,97,Moderate,PM2.5,5,Grass, Maple,2023/06/06 05:00:00+00
676,90,Moderate,Ozone 8-hr,5,Grass, Maple,2023/06/05 05:00:00+00
677,90,Moderate,Ozone 8-hr,6,Grass, Maple,2023/06/04 05:00:00+00
678,90,Moderate,Ozone 8-hr,7,Grass, Maple,2023/06/03 05:00:00+00
679,93,Moderate,Ozone 8-hr,6,Grass, Maple,2023/06/02 05:00:00+00
680,51,Moderate,Ozone 8-hr,5,Grass, Juniper,2023/06/01 05:00:00+00
681,84,Moderate,Ozone 8-hr,5,Grass, Juniper,2023/05/31 05:00:00+00
682,51,Moderate,Ozone 8-hr,5,Grass, Juniper,2023/05/30 05:00:00+00
683,51,Moderate,Ozone 8-hr,6,Grass, Juniper,2023/05/29 05:00:00+00
684,50,Good,PM2.5,5,Grass, Juniper,2023/05/28 05:00:00+00
685,51,Moderate,Ozone 8-hr,6,Grass, Juniper,2023/05/27 05:00:00+00
686,59,Moderate,PM2.5,6,Grass, Juniper,2023/05/26 05:00:00+00
687,57,Moderate,PM2.5,7,Grass, Maple,2023/05/25 05:00:00+00
688,53,Moderate,PM2.5,6,Grass, Maple,2023/05/24 05:00:00+00
689,51,Moderate,PM2.5,6,Grass, Maple,2023/05/23 05:00:00+00
690,57,Moderate,PM2.5,6,Grass, Maple,2023/05/22 05:00:00+00
691,63,Moderate,PM2.5,7,Grass, Maple,2023/05/21 05:00:00+00
692,51,Moderate,PM2.5,1,Grass, Maple,2023/05/20 05:00:00+00
693,50,Good,PM2.5,6,Grass, Maple,2023/05/19 05:00:00+00
694,51,Moderate,Ozone 8-hr,6,Hickory, Sweet Gum,2023/05/18 05:00:00+00
695,50,Good,Ozone 8-hr,7,Hickory, Sweet Gum,2023/05/17 05:00:00+00
